Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2020,2020,Export,Greece,Morocco,All Commodities,TOTAL,64902282
2020,2020,Import,Greece,Mozambique,All Commodities,TOTAL,62219121
2020,2020,Export,Greece,Mozambique,All Commodities,TOTAL,1836115
2020,2020,Import,Greece,Oman,All Commodities,TOTAL,3932479
2020,2020,Export,Greece,Oman,All Commodities,TOTAL,14873566
2020,2020,Import,Greece,Namibia,All Commodities,TOTAL,3355553
2020,2020,Export,Greece,Namibia,All Commodities,TOTAL,708473
2020,2020,Export,Greece,Nauru,All Commodities,TOTAL,502
2020,2020,Import,Greece,Nepal,All Commodities,TOTAL,201797
2020,2020,Export,Greece,Nepal,All Commodities,TOTAL,241083
2020,2020,Import,Greece,Netherlands,All Commodities,TOTAL,3399957174
2020,2020,Export,Greece,Netherlands,All Commodities,TOTAL,785712100
2020,2020,Import,Greece,Curaçao,All Commodities,TOTAL,10576
2020,2020,Export,Greece,Curaçao,All Commodities,TOTAL,1092424
2020,2020,Import,Greece,Aruba,All Commodities,TOTAL,992
2020,2020,Export,Greece,Aruba,All Commodities,TOTAL,74272
2020,2020,Export,Greece,Saint Maarten,All Commodities,TOTAL,78909
2020,2020,Import,Greece,Bonaire,All Commodities,TOTAL,501
2020,2020,Export,Greece,Bonaire,All Commodities,TOTAL,928
2020,2020,Export,Greece,New Caledonia,All Commodities,TOTAL,710324
2020,2020,Export,Greece,Vanuatu,All Commodities,TOTAL,523570
2020,2020,Import,Greece,New Zealand,All Commodities,TOTAL,32594763
2020,2020,Export,Greece,New Zealand,All Commodities,TOTAL,24009043
2020,2020,Import,Greece,Nicaragua,All Commodities,TOTAL,2540642
2020,2020,Export,Greece,Nicaragua,All Commodities,TOTAL,348748
2020,2020,Import,Greece,Niger,All Commodities,TOTAL,69432
2020,2020,Export,Greece,Niger,All Commodities,TOTAL,779718
2020,2020,Import,Greece,Nigeria,All Commodities,TOTAL,30233179
2020,2020,Export,Greece,Nigeria,All Commodities,TOTAL,45654329
2020,2020,Export,Greece,Niue,All Commodities,TOTAL,12925
2020,2020,Export,Greece,"Other Africa, nes",All Commodities,TOTAL,697606
2020,2020,Import,Greece,Norway,All Commodities,TOTAL,202464272
2020,2020,Export,Greece,Norway,All Commodities,TOTAL,69048266
2020,2020,Export,Greece,N. Mariana Isds,All Commodities,TOTAL,532
2020,2020,Export,Greece,United States Minor Outlying Islands,All Commodities,TOTAL,130200
2020,2020,Import,Greece,Marshall Isds,All Commodities,TOTAL,8398690
2020,2020,Export,Greece,Marshall Isds,All Commodities,TOTAL,119297284
2020,2020,Export,Greece,Palau,All Commodities,TOTAL,134101
